id,topic,metric,value,unit,scope,sample_size,source_org,source_title,source_year,source_url,verified_date,notes
UP-01,activation,Average activation rate,37.5,percent,B2B SaaS companies using Userpilot Activation Dashboard,62 companies,Userpilot,Benchmark Report 2025,2025,https://userpilot.com/saas-product-metrics/,2026-08-04,Mean; source reports a 37.04% median
UP-02,onboarding,Average onboarding checklist completion rate,19.2,percent,B2B SaaS companies across industries,188 companies,Userpilot,Benchmark Report 2025,2025,https://userpilot.com/saas-product-metrics/,2026-08-04,Mean; source reports a 10.1% median
UP-03,activation,Average time to value,36,hours,B2B SaaS companies using Userpilot Activation Dashboard,62 companies,Userpilot,Benchmark Report 2025,2025,https://userpilot.com/saas-product-metrics/,2026-08-04,Headline value is 1 day 12 hours; detailed value is 1 day 12 hours 23 minutes
UP-04,retention,Average month-one retention rate,46.9,percent,B2B SaaS companies using Userpilot Retention Dashboard,83 companies,Userpilot,Benchmark Report 2025,2025,https://userpilot.com/saas-product-metrics/,2026-08-04,Mean; source reports a 45.25% median
UP-05,adoption,Average core feature adoption rate,24.5,percent,B2B SaaS companies using Userpilot Core Feature Adoption Dashboard,181 companies,Userpilot,Benchmark Report 2025,2025,https://userpilot.com/saas-product-metrics/,2026-08-04,Mean; source reports a 16.5% median
AM-01,retention,Median product month-one retention rate,6.5,percent,Digital products in Amplitude benchmark,10600+ products across 2600+ companies,Amplitude,What Is Product Analytics? A Data-Backed Guide,2026,https://amplitude.com/explore/analytics/product-analytics-guide,2026-08-04,Top 10% products retain 26% at month one
AM-02,activation,Top-quartile day-seven return threshold,7,percent,Digital products in Amplitude benchmark,10600+ products across 2600+ companies,Amplitude,What Is Product Analytics? A Data-Backed Guide,2026,https://amplitude.com/explore/analytics/product-analytics-guide,2026-08-04,Returning on day seven at this rate places a product in the top 25% for activation
AM-03,activation,Top activation performers also top retention performers,69,percent,Digital products in Amplitude benchmark,10600+ products across 2600+ companies,Amplitude,What Is Product Analytics? A Data-Backed Guide,2026,https://amplitude.com/explore/analytics/product-analytics-guide,2026-08-04,Seven-day activation compared with three-month retention
AM-04,retention,Top B2B product three-month retention rate,15.6,percent,B2B technology products,2600+ companies across the full cross-industry report,Amplitude,The Product Benchmarks Every B2B Technology Company Should Know,2025,https://amplitude.com/blog/b2b-technology-product-benchmarks,2026-08-04,Median B2B product rate is 2.5%
AM-05,retention,Median B2B product three-month retention rate,2.5,percent,B2B technology products,2600+ companies across the full cross-industry report,Amplitude,The Product Benchmarks Every B2B Technology Company Should Know,2025,https://amplitude.com/blog/b2b-technology-product-benchmarks,2026-08-04,Top B2B product rate is 15.6%
WZ-01,purchase,Consumers considering onboarding content when buying,63,percent,Consumer survey conducted in early 2020,216 people,Wyzowl,Customer Onboarding Statistics 2020,2020,https://wyzowl.com/customer-onboarding-video-success-stories/,2026-08-04,Historical perception data; not a 2026 benchmark
WZ-02,education,Consumers preferring video to learn a new product or service,65,percent,Consumer survey conducted in early 2020,216 people,Wyzowl,Customer Onboarding Statistics 2020,2020,https://wyzowl.com/customer-onboarding-video-success-stories/,2026-08-04,Historical perception data; not a 2026 benchmark
WZ-03,loyalty,Consumers more likely to stay loyal when a business invests in onboarding content,86,percent,Consumer survey conducted in early 2020,216 people,Wyzowl,Customer Onboarding Statistics 2020,2020,https://wyzowl.com/customer-onboarding-video-success-stories/,2026-08-04,Historical perception data; not a 2026 benchmark
